Rank,agrc,ccsq,entc,fgtv,frst,inen,ippu,lndu,lsmm,lvst,scoe,soil,trns,trww,waso
11,nemomod_entc_frac_min_share_production_pp_solar,avgmass_lvst_animal_horses_kg,frac_inen_energy_lime_and_carbonite_natural_gas,dem_ippu_average_materials_tonne_per_household_wood,frac_lsmm_n_loss_volatilisation_composting,frac_inen_energy_mining_natural_gas,nemomod_entc_input_activity_ratio_fuel_production_me_coal_coal_deposits,cost_enfu_fuel_coke_usd_per_tonne,nemomod_entc_renewable_energy_tag_pp_hydropower,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,ef_trns_mobile_combustion_water_borne_kg_ch4_per_tj_diesel,scalar_lndu_vegetarian_dietary_exchange,ef_waso_compost_kg_ch4_per_kg_food,efficfactor_entc_technology_fuel_use_pp_hydropower,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_hydrocarbon_gas_liquids
12,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,avgmass_lvst_animal_mules_kg,mcf_lsmm_anaerobic_digester,nemomod_entc_emissions_activity_ratio_scalar_pp_nuclear_ch4,frac_inen_energy_recycled_glass_diesel,frac_lvst_livestock_demand_imported_cattle_nondairy,elasticity_waso_msw_to_gdppc_glass,gasrf_ippu_co2_capture_metals,frac_lvst_mm_buffalo_daily_spread,ef_enfu_combustion_tonne_co2_per_tj_fuel_furnace_gas,nemomod_entc_input_activity_ratio_fuel_production_fp_ammonia_production_electricity,scalar_inen_energy_demand_plastic,ef_fgtv_production_venting_tonne_ch4_per_m3_fuel_oil,frac_lvst_mm_buffalo_dry_lot,ef_lndu_conv_grasslands_to_settlements_gg_co2_ha
13,energydensity_enfu_mj_per_litre_fuel_biogas,avgmass_lvst_animal_pigs_kg,elasticity_waso_msw_to_gdppc_other,frac_inen_energy_plastic_gasoline,efficfactor_entc_technology_fuel_use_pp_ocean,ef_trns_mobile_combustion_road_heavy_regional_kg_ch4_per_tj_biofuels,frac_inen_energy_recycled_plastic_solid_biomass,fuelefficiency_trns_road_heavy_freight_diesel_km_per_litre,genfactor_lvst_daily_volatile_solids_buffalo,nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw,ef_waso_compost_kg_ch4_per_kg_sludge,elasticity_lvst_goats_demand_to_gdppc,prodinit_ippu_wood_tonne,ef_trww_untreated_with_sewerage_g_n2o_per_g_n,factor_lndu_soil_inputs_supremum_without_manure_croplands
14,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_n2o,avgmass_lvst_animal_sheep_kg,energydensity_gravimetric_enfu_gj_per_tonne_fuel_coke,frac_agrc_vegetables_and_vines_cl1_temperate,ef_trww_treated_septic_g_n2o_per_g_n,frac_inen_energy_recycled_textiles_electricity,frac_waso_initial_composition_mun_rubber_leather,pop_lvst_initial_horses,qty_waso_initial_municipal_waste_tonne_per_capita,ef_frst_forestfires_secondary_co2,nemomod_entc_emissions_activity_ratio_scalar_pp_gas_ch4,qty_ippu_recycled_textiles_tonne_cod_per_m3_ww,frac_waso_initial_composition_mun_paper,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste,demscalar_ippu_other_industries
15,avgmass_lvst_animal_chickens_kg,climate_change_factor_gnrl_hydropower_availability,frac_agrc_vegetables_and_vines_cl1_temperate,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,efficfactor_scoe_heat_energy_other_se_solid_biomass,efficfactor_scoe_heat_energy_commercial_municipal_coal,frac_agrc_dry_matter_of_harvest_tubers,frac_trww_p_removed_treated_primary,elasticity_ippu_glass_production_to_gdp,fuelefficiency_trns_road_heavy_freight_diesel_km_per_litre,cost_enfu_fuel_oil_usd_per_m3,ef_ippu_tonne_ch2f2_per_tonne_production_electronics,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_diesel,ratio_agrc_below_ground_to_above_ground_biomass_pulses
16,physparam_krem_sludge_factor_treated_secondary_aerobic,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing,avgmass_lvst_animal_cattle_nondairy_kg,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,regressionb_agrc_above_ground_residue_cereals_kg_per_ha,regressionb_agrc_above_ground_residue_pulses_kg_per_ha,nemomod_entc_input_activity_ratio_fuel_production_fp_petroleum_refinement_crude,efficfactor_entc_technology_fuel_use_pp_wind,ef_trns_mobile_combustion_road_light_kg_n2o_per_tj_diesel,ef_lvst_entferm_goats_kg_ch4_head,frac_inen_energy_recycled_wood_solid_biomass,efficfactor_enfu_industrial_energy_fuel_solar,ef_trns_mobile_combustion_road_heavy_regional_kg_n2o_per_tj_biofuels,avgmass_lvst_animal_cattle_nondairy_kg,nemomod_entc_emissions_activity_ratio_fuel_production_fp_hydrogen_reformation_tonne_co2_per_tj
17,efficfactor_enfu_industrial_energy_fuel_furnace_gas,consumpinit_inen_energy_tj_per_tonne_production_cement,frac_waso_initial_composition_mun_paper,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,frac_inen_energy_textiles_electricity,energydensity_enfu_mj_per_litre_fuel_coke,nemomod_entc_input_activity_ratio_fuel_production_me_natural_gas_electricity,qtyinit_soil_liming_limestone_applied_to_soils_kt,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_co2,frac_agrc_dry_matter_of_harvest_rice,fuelefficiency_trns_road_heavy_freight_diesel_km_per_litre,frac_inen_energy_plastic_coke,elasticity_agrc_cereals_demand_to_income,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed,demscalar_ippu_cement
18,mcf_trww_treated_advanced_aerobic,consumpinit_inen_energy_tj_per_tonne_production_chemicals,ef_lsmm_direct_management_storage_solid_n2o_per_n,frac_waso_initial_composition_mun_paper,cost_enfu_fuel_kerosene_usd_per_m3,elasticity_waso_msw_to_gdppc_metal,nemomod_entc_reserve_margin_tag_technology_pp_oil,energydensity_enfu_mj_per_litre_fuel_coke,ef_trww_treated_advanced_aerobic_g_n2o_per_g_n,physparam_waso_k_chemical_industrial,ef_trns_mobile_combustion_road_heavy_freight_kg_n2o_per_tj_gasoline,frac_enfu_fuel_demand_imported_pj_fuel_electricity,fuelefficiency_trns_public_hydrogen_km_per_litre,mcf_lsmm_dry_lot,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration
19,mcf_lsmm_liquid_slurry,consumpinit_inen_energy_tj_per_tonne_production_electronics,frac_agrc_combustion_factor_cereals,frac_inen_energy_chemicals_electricity,elasticity_agrc_rice_demand_to_income,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw,exports_agrc_tubers_tonne,frac_inen_energy_lime_and_carbonite_natural_gas,frac_inen_energy_rubber_and_leather_electricity,frac_ccsq_heat_energy_direct_air_capture_natural_gas,qty_ippu_rubber_and_leather_tonne_cod_per_m3_ww,avgmass_lvst_animal_chickens_kg,fuelefficiency_trns_rail_freight_hydrogen_km_per_litre,frac_waso_initial_composition_mun_rubber_leather,scalar_inen_energy_demand_chemicals
20,elecfuelefficiency_trns_water_borne_km_per_kwh,consumpinit_inen_energy_tj_per_tonne_production_glass,vol_ippu_glass_m3_ww_per_tonne_production,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,nemomod_entc_frac_min_share_production_pp_hydropower,qty_soil_organic_c_stock_dry_climate_tonne_per_ha,frac_inen_energy_recycled_plastic_diesel,fuelefficiency_trns_rail_freight_hydrogen_km_per_litre,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene,frac_inen_energy_rubber_and_leather_electricity,fuelefficiency_trns_road_heavy_regional_biofuels_km_per_litre,ratio_agrc_above_ground_residue_to_yield_rice,frac_lvst_mm_mules_solid_storage,frac_inen_energy_recycled_metals_gasoline,gasrf_waso_landfill_to_ch4
